threshold,precision,recall,f1,tp,fp,tn,fn,category,recall_level
0.0023408325,1.0,0.9583333333333334,0.9787234042553191,23,0,0,1,screw_manipulated_front,0.95
0.0024699674,1.0,0.9583333333333334,0.9787234042553191,23,0,0,1,screw_scratch_head,0.95
0.002131657,1.0,0.96,0.9795918367346939,24,0,0,1,screw_scratch_neck,0.95
0.002379733,1.0,0.9565217391304348,0.9777777777777777,22,0,0,1,screw_thread_side,0.95
0.0023506468,1.0,0.9565217391304348,0.9777777777777777,22,0,0,1,screw_thread_top,0.95
0.020305673,1.0,0.9565217391304348,0.9777777777777777,22,0,0,1,capsule_crack,0.95
0.019943302,1.0,0.9545454545454546,0.9767441860465116,21,0,0,1,capsule_faulty_imprint,0.95
0.019760655,1.0,0.9523809523809523,0.975609756097561,20,0,0,1,capsule_poke,0.95
0.0195965,1.0,0.9565217391304348,0.9777777777777777,22,0,0,1,capsule_scratch,0.95
0.018952569,1.0,0.95,0.9743589743589743,19,0,0,1,capsule_squeeze,0.95
0.03341868,1.0,0.9444444444444444,0.9714285714285714,17,0,0,1,hazelnut_crack,0.9
0.03582245,1.0,0.9411764705882353,0.9696969696969697,16,0,0,1,hazelnut_cut,0.9
0.036290605,1.0,0.9444444444444444,0.9714285714285714,17,0,0,1,hazelnut_hole,0.9
0.03594136,1.0,0.9411764705882353,0.9696969696969697,16,0,0,1,hazelnut_print,0.9
